drugName,condition,review,rating,date,class
Sulfamethoxazole / trimethoprim,acne,"""at first, the acne went away and i was super excited, but then after the first week i began to grow huge acne all over my chin and jaw. i am taking two pills a day and the side effects are bad but i am willing to stick it out because in the end it should hopefully work. its only on area where i get the pimples so i guess we will see how the next weeks go.""",4,"January 19, 2013",0
Vortioxetine,depression,"""i was on 10 mg for seasonal affectional disorder. the medicine did a good job. i found that i could not have any caffeine while on this medicine. in march i was able to reduce to 5 mg in preparation of going off when the time changes (days are longer). i noticed i was having side effects just cutting down.  i was achy all over. after about 4 days i happen to have a green tea with ginseng. within a half hour of drinking it, the achiness was gone. i tried reg coffee the next day. no achiness but had to watch jitters.  i don't know if this will help anyone else but it did me""",6,"March 6, 2016",0
Ketorolac,pain,"""was given an im injection in the buttocks for migraines and it was completely ineffective. the pain that the injection caused was infuriating considering there was absolutely no relief of the headache.""",2,"October 28, 2016",-1
Duloxetine,depression,"""this little pill caused me to have worsening suicidal thoughts.  i was on edge and crying daily. this was only being on it for 3 weeks.  i do have to say it did help with fibro pain but made depression unbearable.""",2,"February 14, 2013",-1
Abilify,depression,"""i have been taking this medication for several months along with viibryd for depression and anxiety. this has really helped with my depression almost immediately but i have gained 14 pounds in 2 months with exercising! i have decided to stop both medications and try something new when i see doctor on friday. i can't handle the weight gain not worth it to me.""",6,"November 14, 2012",0
Wellbutrin SR,depression,"""do not take this medication if you have a pre-existing anxiety disorder...even if you are on a benzo or buspirone before starting it.  my anxiety was well controlled with an ssri and buspirone, but my depression did not seem to be getting any better.  my psychiatrist tried switching me from the ssri to 100 mg wellbutrin sr.  i could only take the wellbutrin for 6 days.  it gave me horrible panic attacks, racing heartbeat, and severe sweating.  i have no doubt it may work well for depression, but it is a bad drug to try if you have depression and generalized anxiety disorder.  i am now back on the ssri.  i would rather deal with some depression than have panic attacks!""",1,"October 30, 2016",-1
Vilazodone,depression,"""this medicine almost killed me. symptoms worst at 40 mg but there earlier. i ended up in the er twice and was admitted to the hospital for days after a month with uncontrollable diarrhea, vomiting and the worse abdominal cramps i've ever had before anyone realize it was the viibryd.  i pass kidney stones regularly, so i have a super high pain tolerance and the lower abdominal pain from viibryd was as bad if not worse than that.  i had uncontrollable leg and body spasms and agitation and anxiety through the roof.  tapering off the stuff ended up being just as bad, every time i took the tapered dose i felt like i was taking poison and i would go into convulsions. less serious side effects including, eye pain, odd vaginal discharg""",1,"July 24, 2015",-1
Drospirenone / ethinyl estradiol,acne,"""i took this pill as a last resort as i thought lymecyline wasn't working but wasn't making my skin worst, so i opted for yasmin worst choice i have ever made! by the 3rd day i had dry skin and a large cluster of spots round my jaw! 
this didn't work for me and i'm not willing to wait anymore, however there is no harm in trying just beware, also duac cream, i wouldn't recommend it burns and dries skin out.""",4,"February 17, 2017",0
Loestrin 24 Fe,acne,"""it was horrible. hated my life while taking it. never had bad acne before until this. during the second week of taking loestrin i got really bad and painful cystic acne. it wasn't just on my face, it was all over my body. it got to a point where i didn't feel like walking out of my house because of it. mind you, this happened over the course of only 2 weeks. i also felt super depressed and moody, nauseous. i didn't feel like myself. it helped my cramps, but it definitely not worth it. switching to another bc. i was hopeful everything would be fine, but it turned out to be a hellish experience. would not recommend to anyone for sure.""",1,"December 5, 2015",-1
Desvenlafaxine,depression,"""i took pristiq for years and it was wonderful.  unfortunately my insurance changed and i wound up on effexor, which caused me horrific night sweats.  when i saw pristiq had a generic, i was thrilled!  now that i'm on it, i realize it's not anywhere close to the brand name.  i feel terrible on it.  i have headaches, jaw pain, i have heartburn, and i've even noticed some heart palpitations.  i'm really disappointed in the generic, but i don't want to go back to effexor and deal with the night sweats, so i'm kind of at a loss for what to do.  i'm hoping if i give the generic pristiq more time, my system will adjust.  i feel for the rest of you are having issues, because it's not fun.""",3,"August 14, 2017",-1
Duloxetine,depression,"""i must say that it helped with my neuropathy, but from day one, i had a terrible time urinating and was experiencing horrible nightmares. as soon as i discontinued it, these symptoms went away. i am on zoloft now without any problems.""",1,"March 26, 2017",-1
Lorazepam,anxiety,"""this medication worked for my anxiety but made me a complete zombie. i would forget things i was doing and just had a drowsy i don't care attitude. it got rid of my anxiety but interrupted my daily work routine because i couldn't think to function. 

i would only recommend if you are having extreme jump out of your skin anxiety, otherwise try to do things naturally. i started taking vitamins and working out regularly and my anxiety has gone down at least 60%.""",3,"October 24, 2011",-1
Minocycline,acne,"""i'm 14 years old and i have pretty bad acne which started about a year and a half ago. a year ago, my mom took me to the dermatologist to see what they could do. they prescribed me to monocyline (100mg) once a day. i cleared up in about two weeks and my skin was flawless. after about two months, my acne stared to come back. i got off the pill for about a month and resumed it only to find out it wouldn't clear up my acne anymore. i stopped using it over the summer and started again once school started but twice a day this time. it stopped breakouts from becoming as bad as they could've been but didn't give me the same result as a year ago. my acne was still bad. all i am trying to put out there is stops working after a while. good luck.""",6,"November 17, 2014",0
Paroxetine,depression,"""i have been on paxil for 19 years, the side effects are becoming too much to bare so recently i attempted to wean from it, i became so physically ill and mentally disturbed i had to be hospitalized and put back up a dose to stop the withdrawals, now i have to take the liquid for to slowly wean off, it is worse then heroin withdrawal and methadone withdrawal both which i have over come cold turkey. i cannot get off this medication and it is sad because i want to have children but pregnancy is a no no while on paxil, i'm 34 i've been on it since i was 15, i was put on it and never told anything about the addictiveness and withdrawals or any of the problems associated with it, it was a bandaid solution that has become a life long addiction""",1,"May 1, 2017",-1
Buspirone,anxiety,"""my first ever medication i tried for anxiety and with unfavorable results unfortunately. taking it the first week i felt slightly less anxious and ready to move. after this though, i started to can a terrible dizziness that would keep me locked in my bed for hours until it subsides. i tried using this in different settings, times and with different meals to see if anything was going to work but the dizziness was deafening. had to come off of it after less than a month of feeling like i was on a horrible plane ride.""",5,"December 16, 2016",0
TriNessa,acne,"""i am about to start my 4th month of trinessa and to be honest my skin is nowhere near what i thought it would be. i can definitely say my skin has gotten a lot better. i suffered from very bad consistent cystic acne on my cheeks. since taking this, it has subsided. however, i don't feel like i necessarily have less acne. i still get a couple cystic pimples and break out pretty badly the week before my period and during. i also have bad scars which i have been treating with peels. although i have seen a huge improvement in my skin, i still do not feel comfortable without makeup. i was hoping by the end of 3 months i would have almost completely clear skin. i have had acne since about 12/13 and i am now 22. any suggestions? help please!!!""",6,"May 22, 2015",0
Clindamycin / tretinoin,acne,"""i originally has mild pustular acne. i used veltin for 5 weeks before giving up.  my face became red, weeping, stinging, and covered in cystic acne while using it.   i used it once a night as prescribed and would use cetaphil lotion on my face morning and night to try to hydrate my skin. it got to the point where i did not want to go to work because of comments. just putting water on my face made me cry.  within 2 weeks of stopping my acne is back to mild and my face is healing with 2 scars from where it was peeling and weeping.""",1,"October 7, 2017",-1
Mirtazapine,depression,"""i have been on medication for a couple of years on and off. i don't really think i get the full effect of it because i miss doses due to me working midnight shifts and this drug makes you very sleepy and hungry.""",6,"March 9, 2009",0
Minocycline,acne,"""my face has the acne. dr gave me monicyline 100 mg. use 2 times every 12 hours. after the 1st pill. i feel a lightly dizzy. i think it is ok. and i took the second pill after 12 hours, it made me more dizzy. and vomit too. i feel like flu. i cant walk around due to dizzy. very terrible. i cant ues this medicine anymore.""",1,"October 8, 2016",-1
Clindamycin / tretinoin,acne,"""i have used epiduo in the past. veltin appears to help many people and be a great product, it doesn't help me too much! it causes my skin to be irritated, and i automatically started peeling like crazy after one dosage. everyone is different, but if veltin isn't working for you, try epiduo!""",5,"October 18, 2013",0
Vortioxetine,depression,"""on 20mg for about two months with no concrete signs of improving depression/anxiety. dr. told me to just stop taking it as i hadn't been on it very long so didn't need to taper off. after not taking any dose for 3 days, i woke up in middle of night with excruciating stomach pain and vomited off and on for hours. absolutely horrible. i also think there could be a negative interaction between this drug and concerta. just my own personal experience. i hope this drug works for you! if not, there's are hundreds others that will.""",1,"July 30, 2016",-1
Ethinyl estradiol / norgestimate,acne,"""please please read !!!! when i was younger my skin was good i would get a pimple here and there as a common teen, but later i broke out not bad don't get me wrong but i broke out on my cheeks,  a lot on my forehead. i would have tiny skin coloured bumps , they would go and come back here and there , so my cheeks i usually have got like at least 6 zits on them , my skin is soft but i have red spots all over my checks.  anyway so let's get into tri sprintec i had gone to my  dermatologist and he prescribed me some ointment and some sensitive skin facial cleanser and now i had been prescribed tri sprintec and let me tell you worst experience  ever!!  i only last 2 days !!! headaches and vomiting  ! lost 12 p""",1,"September 26, 2017",-1
Remeron,depression,"""after a year of taking this, i have trouble speaking at all, severe sedation and constant irritability.  also a dangerous lack of care about my personal affairs and suicidal ideation.  i'm called 'stable', when really i'm frozen in depression.  i will never trust a psychiatrist again.""",2,"September 12, 2016",-1
Gabapentin,anxiety,"""i was only taking 600mg (2 x 300mg) an hour before bed. i overslept every day while taking this medication. i also felt groggy in the morning, stumbling to bathroom when i first wake up. did not really help with anxiety or my mood.""",1,"July 21, 2009",-1
Quetiapine,depression,"""my experience on seroquel nearly cost me my job as it turned me into a zombie!. since going off the drug i am fully functional. my head is clear and i have energy to do things.
i cannot believe my dr prescribed me an antipsychotic drug such as seroquel. colleagues observing me thought i had undergone a major personality disorder. i have been off it for a month now and not missing it one bit.""",1,"November 11, 2015",-1
Diclofenac,pain,"""i'm currently using it for a herniated thoracic disc that is so bad, it radiates through my ribs and sends electrical current to my abs causing cramping. i've had the patch on for 8 hours and feel no different at all. had to use gauze tape because there is basically no adhesive on the patch itself. i think it's nothing more than aspirin? waste of $50.""",2,"November 24, 2016",-1
Venlafaxine,anxiety,"""i was prescribed this for onset of anxiety and possible hormonal mood swings. i was not told by my doctor how it would make me feel or how hard coming off of it would be. i took one 37.5 mg capsule and was horrified that i was given this. i woke up at 2am with an anxiety attack for about the first hour. it then went into being wired, nauseous, shakey, weak, chills and sweating. 11 years ago i quit using meth and this was awful that i felt like i was on it again. i laid in bed the entire day, wide awake and ill. i never took another dose! and even one pill took at least another full day to leave my system. my nervous system is obviously sensitive and i could not handle this medication at all.""",2,"August 27, 2017",-1
Bupropion,depression,"""started taking this with lexapro - i would wake up in the middle of the night and not be able to fall back to sleep.  i hated that so i stopped taking it.""",4,"July 31, 2009",0
Sertraline,depression,"""i was taken off citalopram after a relapse into depression due to bereavement issues and put on to sertraline, initially 50mg/daily.
this didn't work and so, on my gp's advice, my daily dose was increased to 75mg. this dose has also proved ineffective but, worse than that, it has triggered severe insomnia. as i write this, i have been awake for 22 hours straight and still don't feel like sleeping. i have also lost my appetite.
i have taken many medications throughout my life (i am 56) but sertraline is the only one where i have experienced any side-effects. i would be wary about taking this medicine.""",1,"December 9, 2016",-1
Nucynta,pain,"""i've been on nucynta 150mg for months, i feel no relief of my pain, which is sever in my back. this drugs doesn't even make me sleepy, it's as if i'm taking nothing! i feel it is worthless as a form of pain management!""",1,"August 23, 2016",-1
Alprazolam,anxiety,"""dad always had some amount of general anxiety but managed it reasonably.  in approx 1982 he was prescribed xanax after his dad died unexpectedly and he was instructed to take x as needed.  he's been on and off x ever since then and has needed progressively more.  about 20 years ago he ""graduated"" to other medications including anti-depressants and at one point was on a combo that resulted in a nearly-successful suicide attempt.  he never had suicidal thoughts before or after that particular combo.  he's now old and his life is in ruins.  he takes x throughout the day but is at the max and cannot take more.  please be aware once you start on these medications you're in it for life.  dr's know this -- job security for them!""",2,"August 19, 2017",-1
Lexapro,anxiety,"""was prescibed lexapro for anxiety and panic disorder.  only could give this a neutral 5 rating as the side effects stopped me after a week from experiencing the possible benefits.  i am told that this is a very good drug by my doctor and shrink alike.  it gave me more anxiety and crazy chest pains.  i was on 10mg daily.""",5,"March 1, 2009",0
TriNessa,acne,"""before going on this birth control i had mild acne. i wanted to go on birth control to clear up my skin but trinessa did the total opposite for me. it made my skin ten times worse. i would wake up every morning with a new huge welt somewhere on my face and horrible pimples around my mouth and jawline. i continued using this birth control in hopes that it was just an initial break out and it would clear up (like everyone said it would) but after 6 months my skin was still horrible. the day after i stopped using trinessa my skin cleared up almost instantly. i would not recommend this birth control to anyone. it is horrible. even after being off of it for almost four months i still have scarring. please find a different birth control!!""",1,"December 10, 2016",-1
Desvenlafaxine,depression,"""my sister has been on this drug for 2 and a half weeks now.  she has had suicidal thoughts on more than one occassion. she's also having to triple her dose of trazodone to sleep due to the insomnia.  and her depression is worse than ever. she's also become very aggressive.""",1,"March 8, 2009",-1
Buspirone,anxiety,"""i was hoping this medicine would help with my anxiety and depression but it made me feel terrible. i took my 1st dose at night, low dose of 7.5 then again in the morning...about an hour later.....i was so dizzy,almost fainted. my husband was wondering what was wrong with me. i lay down in my bed and stayed there till all these feelings went away. didn't work for me!""",1,"September 11, 2009",-1
Escitalopram,anxiety,"""last summer i was prescribed lexapro under the name liberium for my anxiety and depression. i was told to take 10mg once a day, but to ween myself onto it by taking half a pill a day for a week or two. most of my time on lexapro was blurry; i couldn't remember a lot. people around me could tell that i wasn't right. i stumbled a lot, slurred my words, and generally felt very irritable. my anxiety was through the roof but i had absolutely no depression. when coming down from the med, about 3 hours before the next dose, i literally couldn't move. coming off of the med one day gave me a panic attack and what was diagnosed as a pseudo-seizure: non epileptic seizing while remaining completely conscious. i was taken away by force by ambulance.""",1,"June 6, 2016",-1
Buspirone,anxiety,"""i took busprione for three weeks i quit taking it because the side affects were to much. after i got off it i had non stop headaches for two weeks and still going. i have never had these headaches before in my life until i stop taking this medication.  i was so worried that i got a ct scan just to make sure i was fine. dr told me everything check out but the headaches are still coming.""",6,"September 28, 2016",0
Trazodone,anxiety,"""i was put on this pill 100mg for anxiety and sleep issues. after two days of taking the pills i started to have angry and violent thoughts and feelings. my sleep didn't get any better either. i stopped taking after those two days.""",1,"December 1, 2014",-1
Phenelzine,depression,"""i am currently taking 15 mg three x per day (total of 45mg). 

the first month was the worst. the main side effect that i had was body aches and muscle stiffness that never lessened. once a month passed the body aches went away and i noticed a faint constant headache. after about a week that went away too. the only side effect i notice now (after 2 months on nardil) is a pounding headache lasting 10 seconds and light headedness when i get up to stand from laying down and swelling. it give it 4/10 because it has made my suicidal thoughts disappear and i am less teary and emotional. has not helped my overall mood or general sense of wellbeing. i find the dietary restrictions hard to follow.""",4,"November 26, 2016",0
Hydroxyzine,anxiety,"""zero effect on my anxiety. just made me tired and useless all day. benzos are the only medications that actually have any effect on it.  i'll be going back to what actually does something.""",1,"December 13, 2015",-1
Hydroxyzine,anxiety,"""i've dealt with severe panic disorder my whole life, if i feel on the edge i will take the hydroxzine and it will take my anxiety down and help me rest. the down side is if i go into a severe panic attack it does nothing for me. i had to go to court so i took six 50mg (every 2 hours) it had no effect because i hate standing in front of people, i was still panicking. where i live (and probably most places now) people take advantage of benzodiazepine and other drugs so no doctor will prescribe them to me. i am the exact person that needs them and i will not take advantage. i have never tried xanax because i don't take anything that's not prescribed to me, but i'm curious to see if it would work because i'm desperate.""",5,"July 9, 2016",0
Butrans,pain,"""i was put on this medication by a new doctor who didn't like that i was on fentanyl patches.  i was put on the 10 mg to start.  the first couple of weeks everything was great, no pain.  but then i started having severe muscle and joint pain.  since i have lupus and sjogrens i am used to joint pain but this was worse than normal.  i tried taking the patch off and the muscle aches stopped.. but the other pain i had was worse.  my doctor thinks i need to take a higher dose... so i tried the 20 mg.  made me so sleepy i couldn't keep my eyes open.  i wonder if any other people have had the side effect of severe muscle aches. i wish i could find something to make it stop.""",5,"July 19, 2011",0
Adapalene / benzoyl peroxide,acne,"""ok so my face is extremely oily and everyone says it's really harsh on your face for the first week but it only was harsh for 1 day and now it does nothing not even dry my acne a little and i don't know why it works for everyone else. i hate my acne and it nothing ever works.""",3,"August 6, 2014",-1
Adapalene / benzoyl peroxide,acne,"""i have been using epiduo for 3 months and even more i think. it is so bad - no joke it just peels my skin, burns my skin so much that i can't even sleep at night and i hate applying it because once i put it the burning begins and i usually put it at night. it makes my skin so red like a sunburnt!!!  i'm not sure if i have to wait any longer to see results but in my opinion i have waited for quite some time and yet no results at all! first week i saw a big difference on my skin but that was all. moisturiser just helps with the peeling. do i recommend it? yes and no. yes because some skin types are different so just give it a try to see your luck. and no  if your experience is  like mine. i'm not saying to not use it just sharing my experience.""",5,"February 29, 2016",0
Hydroxyzine,anxiety,"""i take 25 mg and it does not work. my dr has prescribed it for 2 months now and i have told her that it don't work.
i would rather have the xanax back.""",2,"May 8, 2017",-1
Yaz,acne,"""i have taken yaz for just over 6 months now and i have seen no improvement in my skin. i don't have severe ache, i never have but i do suffer from constant congested skin that no cleanser/exfoliator can fix. mainly whiteheads, heaps and heaps of them mainly on my chin which always turn into zits. never ending cycle of zits. on yaz i don't feel any period pain during my cycle and my period is light but i have found that recently, few days before i get my period i break out in acne all over my chin which has spread to my cheeks and it takes nearly until my next period to fully clear. i waited 6+ months to see an improvement in my hormonal skin with yaz but i have seen none so i'm changing.""",4,"August 7, 2017",0
Tapentadol,pain,"""1st 4 days were great, no pain and no lethargy.  day 5 began with stomach upset and hot flashes.  day 6 brought anxiety ending in severe depression and psychotic break.  all resolved after cessation in 24 hours.  """,1,"March 8, 2013",-1
Bupropion,depression,"""taking name brand. started 150 1x a day for a week. first day so amazing, energized,went to the gym, positive & for 4 days felt great.5th not so much & by 7th day was feeling back to my depressed self so i upped it to 2 a day. now i go from anxious to flat. feel absolutely nothing, zoned out, very irritable.  vivid dreams & nightmares, kind of can't separate  dream from reality cause it seems like someone's in the house & i wake up out of a dead sleep & i'm not sure if someone's in the house. going to give this a few more days if things don't get worse hopefully they'll get better, if not, not going to take it anymore. i took this because i wanted to avoid weight gain which happened years ago with other ssris. hasn't affected appetite.""",5,"November 3, 2016",0
Venlafaxine,anxiety,"""i'm 45 years old and have lived a pretty normal life except for my occasional heightened anxiety. recently, my anxiety and panic attacks had escalated out of control. i was feeling out of touch with reality and having multiple panic attacks a day. unfortunately for me, after 2 doses the effexor caused mild hallucinations; light pixelating and things moving in fast motion. it was adding to my anxiety so i went off immediately and the hallucinations went away.""",1,"June 21, 2012",-1
Clonazepam,anxiety,"""i have suffered with anxiety dies order, ptsd, and ocd for as long as i can remember so my psychiatrist put me on clonazepam. after taking it for 2 months i noticed i was angry all the time, i had no patience and had irritable and hostile thoughts. it never really helped curb the ocd or the intrusive thoughts/worries. i immediately stopped taking it and was switched to luvox which has worked wonders for my anxiety and ocd. would never go back to this medication.""",1,"May 29, 2016",-1
Adapalene / benzoyl peroxide,acne,"""the product gave me extreme rashes and my face was itchy for the next couple of days. my whole face was extremely swollen, it is possible i am allergic to benzoyl peroxide.""",1,"July 16, 2017",-1
Lorazepam,anxiety,"""i had a scary adverse reaction with ativan. i was given 1 mg in the hospital orally for the very bad anxiety i was having. about an hour and a half later i began getting the most strangest, scariest hallucinations. both visual and sensory. i don't know if this was an allergic reaction but i never had this problem with any other benzodiazepine. please be cautious with ativan in particular, because it altered the functioning of my brain (it wore off the next day).""",1,"September 19, 2015",-1
Doxycycline,acne,"""i am 14, and i started using doryx about a month ago. it hasn't worked for me, actually within the first few weeks my acne got worst, bigger, redder, and more painful pimples on my face.  in the dermatologist's office he said if this doesn't work in a month give me a call and we will give you something else. so i called him today, and he tells me to use it for another month. do you really think i want my acne to get worse. no! i was skeptical so i got online. some reviews say it worked instantly, others say it took months, and some even say it never worked. i guess i will keep using it for another month, but if it doesn't clear my skin i will go back to my dermatologist.""",2,"February 9, 2010",-1
Vortioxetine,depression,"""it's day 3 of the 5mg and honestly have never felt my body ache like this before. i have thrown up all day, can't keep anything down. and i'm so weak i can barely hold my son. i found this forum trying to find out what is going on with me right now and if this medication is the reason. it definitely is. i feel betrayed by my dr.""",1,"February 27, 2016",-1
Trintellix,depression,"""i've been on brintellix for about 4 weeks now, my doctor had me cut the pill in half and take it with my 100mg of pristiq. i feel that this medicine has cut the bad days down from five days to 3 so its working. i haven't had any side effects at all.""",6,"March 1, 2016",0
Fluoxetine,depression,"""i had been taking this for a really long time and it worked....for a while. i take 60 mg and it seems to be doing nothing now. i was just prescribed a booster and i really hope it works. i am miserable i have moderate to severe intrusional thoughts.""",6,"April 27, 2015",0
Trintellix,depression,"""started on  brintellix 10mg for depression/anxiety, three weeks ago. no side effects at all,apart from some difficulty sleeping. i think i am feeling clearer, but can't say i feel less depressed. maybe a little calmer,but still having some anxiety.""",6,"August 5, 2015",0
Adapalene,acne,"""i have combination/acne prone skin but have only ever had a mild problem until i bought a 'natural"" ebay kit that changed everything. it completely ruined my skin with a huge flare up and immediate dark marks. after that experience i bought tons of other acne products to combat this problem to no avail. my mom works at walmart and told me about differin gel so she brought it home in the morning. i washed my face with my zinc soap prescribed by my derm and dabbed a small amount of gel on my right cheek. in the morning i was beyond surprised to discover a painful cluster of red acne on that spot so i stopped using this (i'm a light-skinned black girl btw)""",1,"February 26, 2017",-1
Trileptal,anxiety,"""completely messed up my stomach- constipated, nauseated, vomiting, rectal bleeding.  agitation, sleep problems and muscle discomfort (restless leg syndrome) upon discontinuation of medication.   

i also believe the increased agitation and abdominal discomfort led to an increase in my blood pressure. """,1,"August 21, 2011",-1
Gabapentin,pain,"""i have been taking this medication at a prescribed dose of 3200mg a day. i have now had to come off it as the side effects i have had were quite severe. vomiting, headaches, dizziness, lack of sleep, very moody to name a few.""",1,"August 15, 2009",-1
Duloxetine,depression,"""made me very sick to my stomach, couldn't eat anything without wanting to vomit. 
sedated too much to the point i didn't want to get out of bed all day. 
also gave me insomnia. 
(30 mg)""",1,"July 25, 2016",-1
Lexapro,anxiety,"""this is just my experiences and opinions. this medication has not helped me much for my anxiety or ocd. i am taking 10 mg once a day,  but now i don't know if maybe i need to increase my dose or change to something else.  the main problem i am having is that it has not seemed to help me much with my hand washing ocd and now i have become itchy from dry skin and scalp.""",2,"May 14, 2010",-1
Drospirenone / ethinyl estradiol,acne,"""i started taking yaz because of my severe acne, i've had acne now for about 7 years straight i'm now 20 years old and ive never been able to get rid of it. my gp prescribed me yaz and i've heard really good stories about this particular pill brand, i took this pill for about the 3 months and my god it made my skin break out completely it was horrible my face was sore to touch because of how big my pimples were and most of them were underneath the skin which was worse. 
i since then have stopped and gone to a dermatologist (skin specialist) and have been prescribed minocycline which is an antibiotic and its 100% cleared my skin completely. 
note *** i didn't gain weight on this yaz.""",1,"February 13, 2017",-1
Beyaz,acne,"""beyaz has helped with my sudden outbreak of adult acne, just like my previous birth control i got off of over a year ago.  however, my period cramps are about the same as if i wasn't on birth control at all.  no severe side effects, but would like to see improvement in this area.  slight nausea when first taking it at night, but taking it in the morning with food seemed to eliminate the nausea.  

not bad, but could be better.  """,6,"August 28, 2011",0
Bupropion,depression,"""30yr old female- today is day 6 on wellbutrin 75mg.  today is day 7 of cold turkey off a tramadol habit as well.  wellbutrin is certainly helping with the withdrawal of tramadol, which is effing horrendous btw.  wellbutrin has given me energy which is great, but i'm still incredibly moodie.  what's the next dose up for wellbutrin?  i feel as though i could benefit from an increase for sure,""",5,"October 24, 2013",0
Minocycline,acne,"""i have been on this medicine for about 2 weeks and have actually broken out even worse than when i first started. it could possibly be that the medicine is bringing up all the pimples? my primary care doctor prescribed this until i see an actual dermatologist. i do have an appointment next week with one so hopefully they will prescribe be something better. but with this medicine i have been feeling very nauseous and slight headaches.""",1,"October 16, 2015",-1
Cymbalta,depression,"""i took cymbalta for 1 year. it did help with my depression however, i became very lethargic and gained 25 lbs within 3 months. the weight gain scared me because i had never gained that much in such a short period of time. also, i did have serious constipation with cymbalta. if you can handle the wieght gain and constipation, i think cymbalta is the medication to at least try, it does work-or it at least worked with my depression.""",6,"January 11, 2010",0
Cymbalta,depression,"""cymbalta was the worst possible medicine i have ever been on.  not only did it not help my depression at all, it actually made it worse.  i also started taking it for fibromyalgia pain which it did not help.  indeed, i have had more pain since starting on the cymbalta than before i was on it. i can't even count how many times i have considered putting myself in the mental health ward of the local hospital. """,1,"December 15, 2011",-1
Vicodin,pain,"""i had 2 foot surgeries within 9 months of each other that took me over 2 years to heal, and was given vicodin for the pain. at first it was awesome, it took care of the pain but i slept all the time. after a while i ended up taking more to relieve the pain, which scared me. so i would go off of it for a month or so and live in agony to prove i was not addicted.  it detaches you from whats going on around you. i finally figured out that i would rather be in some pain than be so depressed as that drug made me feel. i just stick to ibuprofen now.""",6,"March 24, 2009",0
Loestrin 24 Fe,acne,"""i am beyond angry at how terrible my skin broke out while using this medication. it was a mystery to myself and family when my face began to break out terribly, to the point where i was prescribed oral acne medication and the painful cysts still didn't go away. this medication almost ruined my skin, i am so thankful i stopped when i did and read these reviews! it's honestly infuriating that this was the cause! i stopped taking this pill about a week ago and my skin has already cleared up substantially. do not recommend!!!!""",1,"February 3, 2016",-1
Sertraline,depression,"""i was prescribed zoloft for depression and i was on it for a month before i had to get off. after three weeks i started noticing a lack of feeling and it became difficult to orgasm and once the fourth week came around i was completely unable to orgasm. i want to give it zero stars because of how much that affected me personally but it did help a lot with my depression and i was starting to feel more like myself.""",4,"June 6, 2017",0
Desvenlafaxine,depression,"""this medication did not work for me.  it is important to note, however, that i suffer more from anxiety than depression.  on pristiq i felt like i was on a constant roller coaster.  i gave the medication 3 (long) months.  i would wake up in the night with panic attacks and would surprise even myself with sudden outbursts.  not to mention, it was super expensive. not worth it for me. i'm back on zoloft and xanax and feeling much better.""",3,"May 31, 2011",-1
Remeron,depression,"""after trying these for about 5 week's had to go back to dr to change. i felt worse than i'd ever felt in my life i was so angry all the time for no reason, i cried more than i did before medicines for the first time ever i was thinking about suicide. it also gave me a massive appetite gained about ten pounds, which i didn't need so these definitely do not work for me fingers crossed my new ones will.""",1,"March 18, 2014",-1
Vortioxetine,depression,"""on brintellix 10 mg for a week. had to stop taking it due to severe side effects including upset stomach, dizzyness, head rushes, increased mood swings and suicidal thoughts. really threw me for a loop. went back to cymbalta which at least keeps me on an even keel with no side effects.""",1,"October 25, 2014",-1
Escitalopram,anxiety,"""was prescibed lexapro for anxiety and panic disorder.  only could give this a neutral 5 rating as the side effects stopped me after a week from experiencing the possible benefits.  i am told that this is a very good drug by my doctor and shrink alike.  it gave me more anxiety and crazy chest pains.  i was on 10mg daily.""",5,"March 1, 2009",0
Doxycycline,acne,"""eh.. will not say i hate this drug but honestly i did not love it. i started taking it in the winter last year  and took it all the way up until about may, my results were nothing what i expected. some days i thought it was working but really i don't think it ever did much. anyways in the summer i stopped taking the medication and the sun did all of the work. but now i am not outside getting sun so my acne is getting awful. i was prescribed  to take spironolactone a medication know to help people with high potassium. i waited about a month before i took the prescription, i finally convinced myself to take it after reading the rates and results. i am excited to use it and hope for the best results. also this medication is used to treat hormonal acne""",3,"December 2, 2015",-1
Effexor,depression,"""i was on this medication for about 3 year for depression/anxiety.  during the time i took this medication it completely numbed any emotion that a normal person would get.  about six months ago i decided that i was ready to discontinue my use of this medication and slowly reduced my doses.  coming down from this was extremely difficult and painful.  i would have the craziest/scariest dreams, intense night sweats, severe headaches, uncontrollable body shaking and muscle twitching, some nausea/vomiting, but the worst of all the side effects was when my heart would race so fast it felt like it was going to break out of my chest, and my heart would feel like it was skipping beats, and each time that happened i would get an intense head rush.""",3,"May 11, 2012",-1
Ultram ER,pain,"""this is an exceptional drug for pain relief but the side effects far outweigh the pain relieving benefits. i took ultram er,300 mg for 3 months for low back pain and like i said it was a savior for my pain. however, i started to have some strange dreams with muscle spasms, constipation and extreme fatigue. i stopped the drug about 10 days ago and have finally started to feel better. i am 73 years old and in good health, except for the back pain.""",3,"September 11, 2009",-1
Doxycycline,acne,"""been taking this for about 2 months, done absolutely nothing but pull acne out.  if you want good results fast definitely do not go for this.  i doubt that it will ever clear up at this rate. 4/10 only because it helped a little bit of zits go away.""",4,"April 5, 2016",0
Tri-Previfem,acne,"""i've only been on this for two weeks and my acne is a million times worse. i'm so embarrassed to go in public because it's never been this bad before. is it normal for it to make it worse before better?? i also have not stopped bleeding since i had my period what is going on??""",1,"October 9, 2015",-1
